Taimekaitsevahendi ID,Kasutusala,Kahjustaja,Kulunorm 1,Kulunorm 2,Ühik,Lahuse kontsentratsioon 1,Lahuse kontsentratsioon 2,Kasutamise koht,Piirangud,Töötlemise aeg,Tööoode,Ooteaeg,Töötlemiskordi kasvuperioodil,Töötlemiste intervall
00880,Porgand,Lühiealised umbrohud(TTTTT),0.500,0.600,l/ha,,,Avamaa,Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 m põllumajanduses mittekasutatavast maast või kasuta 50% triivi vähendavaid otsikuid.,,,40,1,
00880,Kartul,Mitmeaastased umbrohud(TTTTT),,1.000,l/ha,,,Avamaa,Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 m põllumajanduses mittekasutatavast maast või kasuta 75% triivi vähendavaid otsikuid.,,,45,1,
00880,Suhkrupeet,Mitmeaastased umbrohud(TTTTT),1.000,1.250,l/ha,,,Avamaa,Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 m põllumajanduses mittekasutatavast maast või kasuta 75% triivi vähendavaid otsikuid.,,,60,1,
00880,Taliraps,Mitmeaastased umbrohud(TTTTT),1.000,1.250,l/ha,,,Avamaa,Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 m põllumajanduses mittekasutatavast maast või kasuta 75% triivi vähendavaid otsikuid.,,,90,1,
00880,Kartul,Lühiealised umbrohud(TTTTT),0.500,0.600,l/ha,,,Avamaa,Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 m põllumajanduses mittekasutatavast maast või kasuta 50% triivi vähendavaid otsikuid.,,,45,1,
00880,Suhkrupeet,Lühiealised umbrohud(TTTTT),0.500,0.600,l/ha,,,Avamaa,Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 m põllumajanduses mittekasutatavast maast või kasuta 50% triivi vähendavaid otsikuid.,,,60,1,
00880,Taliraps,Lühiealised umbrohud(TTTTT),0.500,0.600,l/ha,,,Avamaa,Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 m põllumajanduses mittekasutatavast maast või kasuta 50% triivi vähendavaid otsikuid.,,,90,1,
00938,Mais,Lühiealised  kõrrelised umbrohud(GGGAN);Laialehelised umbrohud,0.375,0.750,l/ha,,,Avamaa,"Veeorganismide kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 10 m pinnaveekogudest.;Mittesihtmärktaimede kaitsmiseks pidada kinni kulunormile vastavast puhvervööndite ja triivi vähendavate otsakute kombinatsioonist, mille leiab infolehel vastavast tabelist.",,,,1-2,10-14
00938,Suhkrumais,Lühiealised  kõrrelised umbrohud(GGGAN);Laialehelised umbrohud,0.375,0.750,l/ha,,,Avamaa,"Veeorganismide kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 10 m pinnaveekogudest.;Mittesihtmärktaimede kaitsmiseks pidada kinni kulunormile vastavast puhvervööndite ja triivi vähendavate otsakute kombinatsioonist, mille leiab infolehel vastavast tabelist.",,,,1-2,10-14
00938,Mais,Lühiealised  kõrrelised umbrohud(GGGAN);Laialehelised umbrohud,0.500,1.000,l/ha,,,Avamaa,"Veeorganismide kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 10 m pinnaveekogudest.;Mittesihtmärktaimede kaitsmiseks pidada kinni kulunormile vastavast puhvervööndite ja triivi vähendavate otsakute kombinatsioonist, mille leiab infolehel vastavast tabelist.",,,,1-2,10-14
